Time Stamp,T_comp1_dis (K),T_comp2_dis (K),P_cond (Pa),P_evap (Pa),T_comp_suc (K),target_eta,target_eta2,h_comp_suc (j/kg),h_comp1_dis (j/kg),h_comp2_dis (j/kg),h_isen (j/kg),eta_isentropic_1,eta_isentropic_2,eta1_condition,eta2_condition,comp1_mech_power,comp2_mech_power,m_comp1,m_comp2,m_total,T_evap_ex (K),T_subcooling (K),h_evap_ex (j/kg),h_evap_in (j/kg),cooling_load (KW),Total_electric_power (KW),COP
2024-07-27 09:00:00,338.6666666666667,338.6666666666667,1796666.6666666667,880000.0,304.0,0.75,0,451379.09561826853,481725.76977957,481725.76977957,474139.1012392446,1.085529249715909,1.085529249715909,True,True,0.0,0.0,0.0,0.0,0.0,296.7,303.0,444100.79778481094,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:00:00,327.0,278.0,1780000.0,1500000.0,303.0,0.75,0,436969.9954181494,459526.31173786323,443215.566237002,441654.17353228887,0.20766591706490584,-0.020404622110090646,False,True,0.0,0.0,0.0,0.0,0.0,298.7,303.0,431536.064865668,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:00:00,336.3333333333333,337.0,1780000.0,980000.0,302.0,0.75,0,447415.3407978464,471930.8952426097,471930.8952426097,465802.0066314189,0.8133605990133429,0.787687913476383,True,True,0.0,0.0,0.0,0.0,0.0,296.06666666666666,303.0,441282.29666879127,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:00:00,334.0,335.3333333333333,1796666.6666666667,920000.0,302.0,0.75,0,447415.3407978464,476908.5782785929,476908.5782785929,469535.26890840626,1.1199336374727706,1.0414938433166103,True,True,0.0,0.0,0.0,0.0,0.0,297.4,303.0,444805.6339062369,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:03:00,338.6666666666667,338.6666666666667,1796666.6666666667,880000.0,304.0,0.75,0,451379.09561826853,481725.76977957,481725.76977957,474139.1012392446,1.085529249715909,1.085529249715909,True,True,0.0,0.0,0.0,0.0,0.0,296.8666666666667,303.0,444268.7689338093,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:03:00,327.0,278.0,1780000.0,1500000.0,303.0,0.75,0,436969.9954181494,459526.31173786323,443215.566237002,441654.17353228887,0.20766591706490584,-0.020404622110090646,False,True,0.0,0.0,0.0,0.0,0.0,298.8,303.0,431665.73212000966,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:03:00,336.3333333333333,337.0,1780000.0,980000.0,302.0,0.75,0,447415.3407978464,471930.8952426097,471930.8952426097,465802.0066314189,0.8133605990133429,0.787687913476383,True,True,0.0,0.0,0.0,0.0,0.0,296.23333333333335,303.0,441456.6899936986,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:03:00,334.0,335.3333333333333,1796666.6666666667,920000.0,302.0,0.75,0,447415.3407978464,476908.5782785929,476908.5782785929,469535.26890840626,1.1199336374727706,1.0414938433166103,True,True,0.0,0.0,0.0,0.0,0.0,297.6333333333333,303.0,444200.4130856407,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:04:00,338.6666666666667,338.6666666666667,1796666.6666666667,880000.0,304.0,0.75,0,451379.09561826853,481725.76977957,481725.76977957,474139.1012392446,1.085529249715909,1.085529249715909,True,True,0.0,0.0,0.0,0.0,0.0,297.0,303.0,444403.0764328724,428921.2383896136,0.0,0.0,0.0
2024-07-27 09:04:00,327.0,278.0,1780000.0,1500000.0,303.0,0.75,0,436969.9954181494,459526.31173786323,443215.566237002,441654.17353228887,0.20766591706490584,-0.020404622110090646,False,True,0.0,0.0,0.0,0.0,0.0,298.85,303.0,431730.5002643885,428921.2383896136,0.0,0.0,0.0
