Time Stamp,System Identifier,*Working hours,Air Thermistor BRC1 T°,EV Opening,Filter status,Gas Pipe T°,Indoor ID,Indoor ON/OFF Status,Indoor Set Temperature,Indoor Type Code,Liquid T°,Mode,ON/OFF,Room Temp,Suction T°,Set Temp,Site temperature
2024-07-27 09:35:00,2,136.25,128.0,0.0,1.0,26.2,3267516688.0,0.0,24.0,27277.0,25.075000000000003,0.0,2.0,28.6,28.6,24.0,27.0
2024-07-27 09:35:00,3,222.5,128.0,0.0,1.0,24.1,4041825808.0,0.0,24.0,27277.0,23.85,0.0,2.0,27.0,27.025,24.0,27.0
2024-07-27 09:35:00,4,123.75,29.1,0.0,0.0,25.6,2290476305.0,0.0,24.0,26897.0,24.8,0.0,2.0,29.625,29.7,24.0,27.0
2024-07-27 09:40:00,1,142.25,128.0,0.0,1.0,24.7,4042087952.0,0.0,24.0,27277.0,23.5,0.0,2.0,27.600000000000005,28.2,24.0,27.0
2024-07-27 09:40:00,2,136.25,128.0,0.0,1.0,26.3,3267516688.0,0.0,24.0,27277.0,25.100000000000005,0.0,2.0,28.600000000000005,28.600000000000005,24.0,27.0
2024-07-27 09:40:00,3,222.5,128.0,0.0,1.0,24.266666666666666,4041825808.0,0.0,24.0,27277.0,23.96666666666667,0.0,2.0,27.100000000000005,27.100000000000005,24.0,27.0
2024-07-27 09:40:00,4,123.75,29.100000000000005,0.0,0.0,25.766666666666666,2290476305.0,0.0,24.0,26897.0,24.899999999999995,0.0,2.0,29.8,29.900000000000002,24.0,27.0
2024-07-27 09:45:00,1,142.25,128.0,0.0,1.0,24.8,4042087952.0,0.0,24.0,27277.0,23.600000000000005,0.0,2.0,27.666666666666668,28.2,24.0,27.0
2024-07-27 09:45:00,2,136.25,128.0,0.0,1.0,26.3,3267516688.0,0.0,24.0,27277.0,25.2,0.0,2.0,28.600000000000005,28.600000000000005,24.0,27.0
2024-07-27 09:45:00,3,222.5,128.0,0.0,1.0,24.333333333333332,4041825808.0,0.0,24.0,27277.0,24.0,0.0,2.0,27.100000000000005,27.166666666666668,24.0,27.0
2024-07-27 09:45:00,4,123.75,29.133333333333336,0.0,0.0,25.96666666666667,2290476305.0,0.0,24.0,26897.0,25.099999999999998,0.0,2.0,30.0,29.96666666666667,24.0,27.0
2024-07-27 09:50:00,1,142.25,128.0,0.0,1.0,24.825,4042087952.0,0.0,24.0,27277.0,23.7,0.0,2.0,27.7,28.3,24.0,27.0
2024-07-27 09:50:00,2,136.25,128.0,0.0,1.0,26.3,3267516688.0,0.0,24.0,27277.0,25.225,0.0,2.0,28.6,28.6,24.0,27.0
2024-07-27 09:50:00,3,222.5,128.0,0.0,1.0,24.475,4041825808.0,0.0,24.0,27277.0,24.05,0.0,2.0,27.2,27.2,24.0,27.0
2024-07-27 09:50:00,4,123.75,29.2,0.0,0.0,26.1,2290476305.0,0.0,24.0,26897.0,25.275,0.0,2.0,30.025,30.05,24.0,27.0
2024-07-27 09:55:00,1,142.25,128.0,0.0,1.0,24.9,4042087952.0,0.0,24.0,27277.0,23.8,0.0,2.0,27.7,28.3,24.0,27.0
2024-07-27 09:55:00,2,136.25,128.0,0.0,1.0,26.4,3267516688.0,0.0,24.0,27277.0,25.3,0.0,2.0,28.625,28.6,24.0,27.0
2024-07-27 09:55:00,3,222.5,128.0,0.0,1.0,24.6,4041825808.0,0.0,24.0,27277.0,24.15,0.0,2.0,27.3,27.3,24.0,27.0
2024-07-27 09:55:00,4,123.75,29.225,0.0,0.0,26.275,2290476305.0,0.0,24.0,26897.0,25.424999999999997,0.0,2.0,30.225,30.2,24.0,27.0
2024-07-27 10:00:00,1,142.25,128.0,0.0,1.0,24.933333333333334,4042087952.0,0.0,24.0,27277.0,23.8,0.0,2.0,27.733333333333334,28.399999999999995,24.0,27.0
2024-07-27 10:00:00,2,136.25,128.0,0.0,1.0,26.399999999999995,3267516688.0,0.0,24.0,27277.0,25.3,0.0,2.0,28.7,28.7,24.0,27.0
2024-07-27 10:00:00,3,222.5,128.0,0.0,1.0,24.7,4041825808.0,0.0,24.0,27277.0,24.233333333333334,0.0,2.0,27.3,27.3,24.0,27.0
2024-07-27 10:00:00,4,123.75,29.3,0.0,0.0,26.366666666666664,2290476305.0,0.0,24.0,26897.0,25.566666666666666,0.0,2.0,30.266666666666666,30.333333333333332,24.0,27.0
2024-07-27 10:05:00,1,142.25,128.0,0.0,1.0,25.1,4042087952.0,0.0,24.0,27277.0,23.9,0.0,2.0,27.8,28.4,24.0,27.0
2024-07-27 10:05:00,2,136.25,128.0,0.0,1.0,26.4,3267516688.0,0.0,24.0,27277.0,25.35,0.0,2.0,28.7,28.7,24.0,27.0
2024-07-27 10:05:00,3,222.5,128.0,0.0,1.0,24.75,4041825808.0,0.0,24.0,27277.0,24.3,0.0,2.0,27.3,27.3,24.0,27.0
2024-07-27 10:05:00,4,123.75,29.3,0.0,0.0,26.45,2290476305.0,0.0,24.0,26897.0,25.6,0.0,2.0,30.35,30.45,24.0,27.0
2024-07-27 10:10:00,1,142.25,128.0,0.0,1.0,25.3,4042087952.0,0.0,24.0,27277.0,24.0,0.0,2.0,27.8,28.433333333333334,24.0,30.0
2024-07-27 10:10:00,2,136.25,128.0,0.0,1.0,26.46666666666667,3267516688.0,0.0,24.0,27277.0,25.46666666666667,0.0,2.0,28.7,28.666666666666668,24.0,30.0
2024-07-27 10:10:00,3,222.5,128.0,0.0,1.0,24.8,4041825808.0,0.0,24.0,27277.0,24.399999999999995,0.0,2.0,27.3,27.3,24.0,30.0
2024-07-27 10:10:00,4,123.75,29.399999999999995,0.0,0.0,26.666666666666668,2290476305.0,0.0,24.0,26897.0,25.766666666666666,0.0,2.0,30.633333333333336,30.599999999999998,24.0,30.0
2024-07-27 10:15:00,1,142.25,128.0,0.0,1.0,25.333333333333332,4042087952.0,0.0,24.0,27277.0,24.0,0.0,2.0,27.8,28.5,24.0,30.0
2024-07-27 10:15:00,2,136.25,128.0,0.0,1.0,26.5,3267516688.0,0.0,24.0,27277.0,25.5,0.0,2.0,28.7,28.7,24.0,30.0
2024-07-27 10:15:00,3,222.5,128.0,0.0,1.0,24.866666666666664,4041825808.0,0.0,24.0,27277.0,24.5,0.0,2.0,27.366666666666664,27.366666666666664,24.0,30.0
2024-07-27 10:15:00,4,123.75,29.399999999999995,0.0,0.0,26.666666666666668,2290476305.0,0.0,24.0,26897.0,25.96666666666667,0.0,2.0,30.7,30.8,24.0,30.0
2024-07-27 10:20:00,1,142.25,128.0,0.0,1.0,25.424999999999997,4042087952.0,0.0,24.0,27277.0,24.025,0.0,2.0,27.875,28.5,24.0,30.0
